open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
102765.4,102859.11,98948.54,98950.3,103475.12399646293,104413.09444294167,24.50638940719655,1441.3411661018815,BTC,2025-06-22 12:00:00
98948.54,100400.74,98700.01,98914.74,103124.32522750425,104197.47270008121,24.410791349550294,1475.9263439549654,BTC,2025-06-22 16:00:00
98914.75,101086.49,98225.01,100996.87,102960.67482538855,104071.95886870548,39.33354939543912,1660.6668314276383,BTC,2025-06-22 20:00:00
100996.87,101682.99,100522.05,101200.0,102825.23830035867,103959.33303071703,40.56629375039239,1594.036587237287,BTC,2025-06-23 00:00:00
101199.99,102177.39,101020.2,101976.06,102759.91689263878,103881.55761774773,45.15185300763926,1535.7903756056492,BTC,2025-06-23 04:00:00
101976.06,102118.65,101140.81,101328.51,102649.80867012811,103781.43810332626,42.224426835166234,1461.3969921915623,BTC,2025-06-23 08:00:00
101328.54,102662.55,100835.89,101479.84,102559.81108011826,103691.17935417622,43.15202899134137,1510.0987265660212,BTC,2025-06-23 12:00:00
101479.84,103420.0,99677.07,103243.85,102612.42945857071,103673.63702656145,52.68771796139074,1807.809563023884,BTC,2025-06-23 16:00:00
103245.73,106135.47,102943.24,105419.39,102828.34950021912,103742.09792748062,61.307797510093,1992.398954620699,BTC,2025-06-23 20:00:00
105418.4,105586.21,104772.91,104996.12,102995.10107712535,103791.27526365785,59.0534655627916,1835.1857606712729,BTC,2025-06-24 00:00:00
